"VMName","ResourceGroup","VMSize","HUB Enabled","Number of Cores","OSType","Required Licenses"
"RBHBES02","24-7_SERVERS","Standard_A6","False","4","Windows","0.5"
"RBHEDMAPP1-TE","EDM-TEST","Standard_A3","False","4","Windows","0.5"
"RBHEDMAPP2-TE","EDM-TEST","Standard_A3","False","4","Windows","0.5"
"RBHEDMDB1-TE","EDM-TEST","Standard_A4","False","8","Windows","0.5"
"RBHEDMISC1-TE","EDM-TEST","Standard_A4","False","8","Windows","0.5"
"RBHEDMSR1-TE","EDM-TEST","Standard_A3","False","4","Windows","0.5"
"RBHEDMWS1-TE","EDM-TEST","Standard_A3","False","4","Windows","0.5"
"RBHT-DEV-EPMADB","EPMA-DEV-UKS","Standard_A4","False","8","Windows","0.5"
"RBHT-DEV-EPMASR","EPMA-DEV-UKS","Standard_A2","False","2","Windows","0.5"
"RBHT-DEV-EPMAWB","EPMA-DEV-UKS","Standard_A2","False","2","Windows","0.5"
"RBHT-TR-EPMADB1","EPMA-TR","Standard_A4","False","8","Windows","0.5"
"RBHT-TR-EPMASR1","EPMA-TR","Standard_A2","False","2","Windows","0.5"
"RBHT-TR-EPMAWB1","EPMA-TR","Standard_A2","False","2","Windows","0.5"
"RBHQPLSR01","Q-PULSE","Standard_DS3_v2","False","4","Windows","0.5"
"rbhbldtrk01-te","RBHBLDTRK-UKS","Standard_F4","False","4","Windows","0.5"
"RBHBLDTRK01","RBHBLDTRK01","Standard_F4","False","4","Windows","0.5"
"RBHCV-ALA01a","RBHCV-ALA","Standard_DS12_v2","False","4","Windows","0.5"
"RBHASRPS","RBHTASRRG","Standard_A3","False","4","Windows","0.5"
"RBHT-TE-EPMADB1","RBHTASRRG","Standard_A4","False","8","Windows","0.5"
"RBHT-TE-EPMADN1","RBHTASRRG","Standard_A3","False","4","Windows","0.5"
"RBHT-TE-EPMASR1","RBHTASRRG","Standard_A4","False","8","Windows","0.5"
"RBHT-TE-EPMAVI1","RBHTASRRG","Standard_A4","False","8","Windows","0.5"
"RBHT-TE-EPMAWB1","RBHTASRRG","Standard_A3","False","4","Windows","0.5"
"RBHT-TE-EPMAWB2","RBHTASRRG","Standard_A3","False","4","Windows","0.5"
"AZRDW01","24-7_SERVERS","Standard_DS13_v2","False","8","Windows","0.5"
"AZRFIN01","24-7_SERVERS","Standard_A8m_v2","False","8","Windows","0.5"
"AZRICEINT01","24-7_SERVERS","Standard_DS12_v2_Promo","False","4","Windows","0.5"
"RBHIFX01-TE","24-7_SERVERS","Standard_E2s_v3","False","2","Windows","0.5"
"asrtestjumpbox","AZRFAILOVERRGUKS01","Standard_D4s_v3","False","4","Windows","0.5"
"RBHNDL","AZRNDLRGUKS","Basic_A3","False","4","Windows","0.5"
"RBHAPP01","AZRRBHAPPSUKS","Standard_D12_v2_Promo","False","4","Windows","0.5"
"RBHAPP02","AZRRBHAPPSUKS","Standard_DS12_v2_Promo","False","4","Windows","0.5"
"RBHSQL01","AZRRBHAPPSUKS","Standard_D5_v2_Promo","False","16","Windows","1"
"RBHTTAPP01","AZRTISSUETRACKINGRGUKS","Standard_D12_v2_Promo","False","4","Windows","0.5"
"RBHTTAPP99TE","AZRTISSUETRACKINGRGUKS","Standard_A2m_v2","False","2","Windows","0.5"
"RBHTTFIL01","AZRTISSUETRACKINGRGUKS","Standard_D12_v2_Promo","False","4","Windows","0.5"
"RBHTTSQL01","AZRTISSUETRACKINGRGUKS","Standard_D12_v2_Promo","False","4","Windows","0.5"
"RBHDWN01","RBHDWN01","Standard_DS3_v2","False","4","Windows","0.5"
"EVOLVESTOR","RBHEDMUKSPR01","Standard_DS3_v2","True","4","Windows","0.5"
"RBHT-PR-EPMAADT-test","RBHEPMARGUKS","Standard_D4_v3","False","4","Windows","0.5"
"RBHT-PR-EPMADB1-test","RBHEPMARGUKS","Standard_D8_v3","False","8","Windows","0.5"
"RBHT-PR-EPMADN1-test","RBHEPMARGUKS","Standard_D4_v3","False","4","Windows","0.5"
"RBHT-PR-EPMASR1-test","RBHEPMARGUKS","Standard_D4_v3","False","4","Windows","0.5"
"RBHT-PR-EPMAVI1-test","RBHEPMARGUKS","Standard_D3_v2_Promo","False","4","Windows","0.5"
"RBHT-PR-EPMAWB1-test","RBHEPMARGUKS","Standard_D8s_v3","False","8","Windows","0.5"
"RBHT-PR-EPMAWB2-test","RBHEPMARGUKS","Standard_D4_v3","False","4","Windows","0.5"
"RBHT-PR-EPMAWB3-test","RBHEPMARGUKS","Standard_D4_v3","False","4","Windows","0.5"
"RBHT-PR-EPMAWB4-test","RBHEPMARGUKS","Standard_D4_v3","False","4","Windows","0.5"
"RBHIFX01","RBHIFX01-UKS","Standard_DS5_v2","False","16","Windows","1"
"RBHPATS01","RBHPATS01","Standard_DS12_v2","True","4","Windows","0.5"
"AZRADC01","RBHTADFSRG","Standard_DS1_v2","True","1","Windows","0.5"
"AZRDC01","RBHTADFSRG","Standard_D2s_v3","True","2","Windows","0.5"
"AZRDC02","RBHTADFSRG","Standard_D2s_v3","True","2","Windows","0.5"
"AZRWAP01","RBHTADFSRG","Standard_DS1_v2","True","1","Windows","0.5"
"AZRWAP02","RBHTADFSRG","Standard_DS1_v2","True","1","Windows","0.5"
"AZRRTLAPP01","RTLS-UKSOUTH","Standard_D11_v2_Promo","False","2","Windows","0.5"
"AZRRTLAPP02","RTLS-UKSOUTH","Standard_DS3_v2_Promo","False","4","Windows","0.5"
"AZRRTLSQL01","RTLS-UKSOUTH","Standard_DS3_v2_Promo","False","4","Windows","0.5"
"AZRSCCM01","UKSOUTHNETWORKRG","Standard_F4","False","4","Windows","0.5"
"RBHAZRDC01","UKSOUTHNETWORKRG","Standard_E2_v3","False","2","Windows","0.5"
